Family_name;sp_name;latitude;elevation;annual_mean_temp;annual_prec;Trunk_circumference;age_rank;unique_name;religion;sp_num;Family_num
Araliaceae;Kalopanax_septemlobus;35.9150744;706.00177;10.9;1391.5;620;4;0;1;32;23
Araliaceae;Kalopanax_septemlobus;32.5083376;5.071190357;17.1;1940.2;345;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;30.3714631;68.21266937;19.3;4168.1;590;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.52640039;473.3422852;7.6;1708.2;320;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.6809631;17.56146431;10.1;1152.5;430;4;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.7997189;318.7078857;8.6;1290.1;370;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;36.8261913;1508.744507;4.9;1646.2;330;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.52640039;473.3422852;7.6;1708.2;380;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.6077066;34.3795929;10.2;1201.1;349;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;31.8859735;1199.109619;8.8;3772.9;390;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.5727332;40.17403793;10.1;1202.8;400;3;1;0;32;23
Araliaceae;Kalopanax_septemlobus;35.9309035;1084.938354;8.3;1339.6;620;4;1;1;32;23
Araliaceae;Kalopanax_septemlobus;38.1180462;297.2649231;10.6;1270.3;310;1;0;0;32;23
Araliaceae;Kalopanax_septemlobus;30.3714631;68.21266937;19.3;4168.1;452;4;0;0;32;23
Araliaceae;Kalopanax_septemlobus;31.9255539;1296.187744;9.3;4092.3;480;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;41.179999;49.92221069;9.7;1680.6;675;4;1;0;32;23
Araliaceae;Kalopanax_septemlobus;42.9854112;19.70614815;7.2;996;320;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.8698341;3.726214886;10.3;1302.8;340;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;43.0617713;24.90271187;8.7;1030.8;300;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;36.13715875;1294.375;6.1;3095.4;340;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;36.3936778;128.410965;14.2;1214.7;380;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.52640039;474.2161865;7.6;1708.2;320;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.5727332;40.17403793;10.1;1202.8;380;3;1;0;32;23
Araliaceae;Kalopanax_septemlobus;40.7581771;150.0167694;9.4;1204.5;654;4;1;1;32;23
Araliaceae;Kalopanax_septemlobus;39.7105037;131.7170105;10.2;1365.9;340;2;0;1;32;23
Araliaceae;Kalopanax_septemlobus;36.9616857;297.8954773;12.1;1484.3;360;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;42.0163309;27.68032837;7.4;1401.4;395;4;0;0;32;23
Araliaceae;Kalopanax_septemlobus;35.3391654;13.75069904;16.2;1624.5;349;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;35.4282323;636.1564941;10.9;2415;530;4;0;0;32;23
Araliaceae;Kalopanax_septemlobus;42.5850188;42.94287109;6.5;1136.6;400;3;0;0;32;23
